# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-24 15:29:54 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05543830 FOX RIVER AT WAUKESHA, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05543830
#            TS   parameter     statistic     Description
#        155309       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	155309_00060_00003	155309_00060_00003_cd
5s	15s	20d	14n	10s
USGS	05543830	1963-01-01	7.00	A
USGS	05543830	1963-01-02	7.00	A
USGS	05543830	1963-01-03	7.00	A
USGS	05543830	1963-01-04	7.00	A
USGS	05543830	1963-01-05	7.00	A
USGS	05543830	1963-01-06	8.00	A
USGS	05543830	1963-01-07	8.00	A
USGS	05543830	1963-01-08	8.00	A
USGS	05543830	1963-01-09	8.00	A
USGS	05543830	1963-01-10	8.00	A
USGS	05543830	1963-01-11	8.00	A
USGS	05543830	1963-01-12	7.00	A
USGS	05543830	1963-01-13	7.00	A
USGS	05543830	1963-01-14	7.00	A
USGS	05543830	1963-01-15	7.00	A
USGS	05543830	1963-01-16	7.00	A
USGS	05543830	1963-01-17	7.00	A
USGS	05543830	1963-01-18	6.00	A
USGS	05543830	1963-01-19	6.00	A
USGS	05543830	1963-01-20	6.00	A
USGS	05543830	1963-01-21	6.00	A
USGS	05543830	1963-01-22	6.00	A
USGS	05543830	1963-01-23	6.00	A
USGS	05543830	1963-01-24	7.00	A
USGS	05543830	1963-01-25	7.00	A
USGS	05543830	1963-01-26	7.00	A
USGS	05543830	1963-01-27	7.00	A
USGS	05543830	1963-01-28	7.00	A
USGS	05543830	1963-01-29	7.00	A
USGS	05543830	1963-01-30	7.00	A
USGS	05543830	1963-01-31	7.00	A
USGS	05543830	1963-02-01	7.00	A
USGS	05543830	1963-02-02	7.00	A
USGS	05543830	1963-02-03	7.00	A
USGS	05543830	1963-02-04	8.00	A
USGS	05543830	1963-02-05	8.00	A
USGS	05543830	1963-02-06	8.00	A
USGS	05543830	1963-02-07	7.00	A
USGS	05543830	1963-02-08	7.00	A
USGS	05543830	1963-02-09	7.00	A
USGS	05543830	1963-02-10	7.00	A
USGS	05543830	1963-02-11	6.00	A
USGS	05543830	1963-02-12	6.00	A
USGS	05543830	1963-02-13	6.00	A
USGS	05543830	1963-02-14	6.00	A
USGS	05543830	1963-02-15	6.00	A
USGS	05543830	1963-02-16	6.00	A
USGS	05543830	1963-02-17	6.00	A
USGS	05543830	1963-02-18	7.00	A
USGS	05543830	1963-02-19	7.00	A
USGS	05543830	1963-02-20	6.00	A
USGS	05543830	1963-02-21	6.00	A
USGS	05543830	1963-02-22	6.00	A
USGS	05543830	1963-02-23	6.00	A
USGS	05543830	1963-02-24	6.00	A
USGS	05543830	1963-02-25	7.00	A
USGS	05543830	1963-02-26	7.00	A
USGS	05543830	1963-02-27	7.00	A
USGS	05543830	1963-02-28	7.00	A
USGS	05543830	1963-03-01	9.00	A
USGS	05543830	1963-03-02	11.0	A
USGS	05543830	1963-03-03	13.0	A
USGS	05543830	1963-03-04	18.0	A
USGS	05543830	1963-03-05	19.0	A
USGS	05543830	1963-03-06	19.0	A
USGS	05543830	1963-03-07	18.0	A
USGS	05543830	1963-03-08	14.0	A
USGS	05543830	1963-03-09	13.0	A
USGS	05543830	1963-03-10	15.0	A
USGS	05543830	1963-03-11	16.0	A
USGS	05543830	1963-03-12	17.0	A
USGS	05543830	1963-03-13	19.0	A
USGS	05543830	1963-03-14	25.0	A
USGS	05543830	1963-03-15	35.0	A
USGS	05543830	1963-03-16	60.0	A
USGS	05543830	1963-03-17	120	A
USGS	05543830	1963-03-18	186	A
USGS	05543830	1963-03-19	244	A
USGS	05543830	1963-03-20	217	A
USGS	05543830	1963-03-21	224	A
USGS	05543830	1963-03-22	216	A
USGS	05543830	1963-03-23	208	A
USGS	05543830	1963-03-24	229	A
USGS	05543830	1963-03-25	196	A
USGS	05543830	1963-03-26	198	A
USGS	05543830	1963-03-27	146	A
USGS	05543830	1963-03-28	159	A
USGS	05543830	1963-03-29	113	A
USGS	05543830	1963-03-30	100	A
USGS	05543830	1963-03-31	91.0	A
USGS	05543830	1963-04-01	94.0	A
USGS	05543830	1963-04-02	71.0	A
USGS	05543830	1963-04-03	78.0	A
USGS	05543830	1963-04-04	72.0	A
USGS	05543830	1963-04-05	65.0	A
USGS	05543830	1963-04-06	50.0	A
USGS	05543830	1963-04-07	49.0	A
USGS	05543830	1963-04-08	56.0	A
USGS	05543830	1963-04-09	52.0	A
USGS	05543830	1963-04-10	49.0	A
USGS	05543830	1963-04-11	57.0	A
USGS	05543830	1963-04-12	46.0	A
USGS	05543830	1963-04-13	48.0	A
USGS	05543830	1963-04-14	47.0	A
USGS	05543830	1963-04-15	46.0	A
USGS	05543830	1963-04-16	47.0	A
USGS	05543830	1963-04-17	49.0	A
USGS	05543830	1963-04-18	47.0	A
USGS	05543830	1963-04-19	47.0	A
USGS	05543830	1963-04-20	47.0	A
USGS	05543830	1963-04-21	41.0	A
USGS	05543830	1963-04-22	41.0	A
USGS	05543830	1963-04-23	41.0	A
USGS	05543830	1963-04-24	40.0	A
USGS	05543830	1963-04-25	40.0	A
USGS	05543830	1963-04-26	39.0	A
USGS	05543830	1963-04-27	36.0	A
USGS	05543830	1963-04-28	35.0	A
USGS	05543830	1963-04-29	59.0	A
USGS	05543830	1963-04-30	114	A
USGS	05543830	1963-05-01	102	A
USGS	05543830	1963-05-02	79.0	A
USGS	05543830	1963-05-03	60.0	A
USGS	05543830	1963-05-04	54.0	A
USGS	05543830	1963-05-05	49.0	A
USGS	05543830	1963-05-06	47.0	A
USGS	05543830	1963-05-07	46.0	A
USGS	05543830	1963-05-08	47.0	A
USGS	05543830	1963-05-09	44.0	A
USGS	05543830	1963-05-10	62.0	A
USGS	05543830	1963-05-11	62.0	A
USGS	05543830	1963-05-12	54.0	A
USGS	05543830	1963-05-13	50.0	A
USGS	05543830	1963-05-14	46.0	A
USGS	05543830	1963-05-15	41.0	A
USGS	05543830	1963-05-16	38.0	A
USGS	05543830	1963-05-17	36.0	A
USGS	05543830	1963-05-18	33.0	A
USGS	05543830	1963-05-19	31.0	A
USGS	05543830	1963-05-20	31.0	A
USGS	05543830	1963-05-21	34.0	A
USGS	05543830	1963-05-22	32.0	A
USGS	05543830	1963-05-23	29.0	A
USGS	05543830	1963-05-24	26.0	A
USGS	05543830	1963-05-25	24.0	A
USGS	05543830	1963-05-26	21.0	A
USGS	05543830	1963-05-27	22.0	A
USGS	05543830	1963-05-28	26.0	A
USGS	05543830	1963-05-29	32.0	A
USGS	05543830	1963-05-30	28.0	A
USGS	05543830	1963-05-31	25.0	A
USGS	05543830	1963-06-01	23.0	A
USGS	05543830	1963-06-02	24.0	A
USGS	05543830	1963-06-03	41.0	A
USGS	05543830	1963-06-04	72.0	A
USGS	05543830	1963-06-05	44.0	A
USGS	05543830	1963-06-06	36.0	A
USGS	05543830	1963-06-07	26.0	A
USGS	05543830	1963-06-08	33.0	A
USGS	05543830	1963-06-09	35.0	A
USGS	05543830	1963-06-10	36.0	A
USGS	05543830	1963-06-11	33.0	A
USGS	05543830	1963-06-12	29.0	A
USGS	05543830	1963-06-13	31.0	A
USGS	05543830	1963-06-14	28.0	A
USGS	05543830	1963-06-15	25.0	A
USGS	05543830	1963-06-16	22.0	A
USGS	05543830	1963-06-17	25.0	A
USGS	05543830	1963-06-18	25.0	A
USGS	05543830	1963-06-19	22.0	A
USGS	05543830	1963-06-20	22.0	A
USGS	05543830	1963-06-21	22.0	A
USGS	05543830	1963-06-22	19.0	A
USGS	05543830	1963-06-23	17.0	A
USGS	05543830	1963-06-24	17.0	A
USGS	05543830	1963-06-25	16.0	A
USGS	05543830	1963-06-26	16.0	A
USGS	05543830	1963-06-27	20.0	A
USGS	05543830	1963-06-28	19.0	A
USGS	05543830	1963-06-29	16.0	A
USGS	05543830	1963-06-30	18.0	A
USGS	05543830	1963-07-01	17.0	A
USGS	05543830	1963-07-02	15.0	A
USGS	05543830	1963-07-03	13.0	A
USGS	05543830	1963-07-04	10.0	A
USGS	05543830	1963-07-05	11.0	A
USGS	05543830	1963-07-06	10.0	A
USGS	05543830	1963-07-07	10.0	A
USGS	05543830	1963-07-08	10.0	A
USGS	05543830	1963-07-09	10.0	A
USGS	05543830	1963-07-10	10.0	A
USGS	05543830	1963-07-11	10.0	A
USGS	05543830	1963-07-12	9.00	A
USGS	05543830	1963-07-13	12.0	A
