#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-07-24 14:53:58 EDT      (caww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 05543830 FOX RIVER AT WAUKESHA, WI
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		155309	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	05543830	00060	155309	1	1	1963	2018	56	1973	480	1964	3.20	82	9.5	13	30	36	57	100	119	181	287
USGS	05543830	00060	155309	1	2	1963	2018	56	1973	448	1964	3.50	82	8.9	18	35	39	56	103	111	176	270
USGS	05543830	00060	155309	1	3	1963	2018	56	1973	357	1964	3.80	78	8.3	18	37	41	57	94	106	171	251
USGS	05543830	00060	155309	1	4	1963	2018	56	1973	323	1964	3.70	78	8.0	18	35	37	57	87	105	169	252
USGS	05543830	00060	155309	1	5	1963	2018	56	1973	265	1964	3.70	74	7.8	18	31	35	55	82	112	175	258
USGS	05543830	00060	155309	1	6	1963	2018	56	1973	240	1964	3.60	70	8.0	18	32	35	54	84	119	149	211
USGS	05543830	00060	155309	1	7	1963	2018	56	2008	248	1964	3.70	69	7.9	18	31	33	53	80	113	158	202
USGS	05543830	00060	155309	1	8	1963	2018	56	2008	424	1964	3.80	69	7.8	18	31	32	52	80	93	148	172
USGS	05543830	00060	155309	1	9	1963	2018	56	2008	484	1964	3.90	68	7.9	16	31	38	52	77	83	132	162
USGS	05543830	00060	155309	1	10	1963	2018	56	2008	449	1964	3.70	69	8.0	17	33	38	53	78	98	132	190
USGS	05543830	00060	155309	1	11	1963	2018	56	2008	424	1964	3.50	73	8.0	15	34	39	52	81	100	133	220
USGS	05543830	00060	155309	1	12	1963	2018	56	2008	394	1964	3.50	72	7.8	14	34	37	53	90	100	153	225
USGS	05543830	00060	155309	1	13	1963	2018	56	2005	392	1964	3.50	75	8.0	14	33	37	53	80	89	149	296
USGS	05543830	00060	155309	1	14	1963	2018	56	2005	350	1964	3.50	70	8.1	13	32	36	51	83	90	143	209
USGS	05543830	00060	155309	1	15	1963	2018	56	2005	320	1964	3.50	66	8.2	11	30	35	51	79	84	125	190
USGS	05543830	00060	155309	1	16	1963	2018	56	2005	250	1964	3.50	64	8.5	12	29	35	54	82	90	127	158
USGS	05543830	00060	155309	1	17	1963	2018	56	2008	209	1964	3.60	65	9.1	12	30	37	60	82	92	123	174
USGS	05543830	00060	155309	1	18	1963	2018	56	2017	230	1964	3.70	68	9.4	12	30	38	55	86	103	135	204
USGS	05543830	00060	155309	1	19	1963	2018	56	1973	295	1964	4.00	69	9.4	11	29	37	53	80	87	122	238
USGS	05543830	00060	155309	1	20	1963	2018	56	1988	501	1963	6.00	75	9.7	11	30	34	51	78	82	127	279
USGS	05543830	00060	155309	1	21	1963	2018	56	1988	474	1963	6.00	75	9.4	11	29	33	50	77	81	141	304
USGS	05543830	00060	155309	1	22	1963	2018	56	2017	472	1963	6.00	80	9.7	17	30	39	53	83	87	159	319
USGS	05543830	00060	155309	1	23	1963	2018	56	2017	438	1963	6.00	82	11	17	31	38	57	84	90	202	276
USGS	05543830	00060	155309	1	24	1963	2018	56	2017	382	1963	7.00	81	11	21	33	37	60	92	111	186	247
USGS	05543830	00060	155309	1	25	1963	2018	56	2017	360	1963	7.00	78	11	20	33	38	59	91	99	168	296
USGS	05543830	00060	155309	1	26	1963	2018	56	2017	346	1963	7.00	76	11	18	33	39	62	82	92	171	258
USGS	05543830	00060	155309	1	27	1963	2018	56	1974	362	1963	7.00	76	9.8	19	33	40	60	87	91	142	254
USGS	05543830	00060	155309	1	28	1963	2018	56	1974	408	1964	6.80	72	9.1	20	33	40	58	88	91	128	230
USGS	05543830	00060	155309	1	29	1963	2018	56	1974	424	1963	7.00	77	8.8	23	33	39	59	86	98	155	250
USGS	05543830	00060	155309	1	30	1963	2018	56	2013	420	1963	7.00	81	8.4	24	33	38	57	88	92	210	279
USGS	05543830	00060	155309	1	31	1963	2018	56	1988	646	1963	7.00	84	8.4	24	33	38	55	88	97	191	271
USGS	05543830	00060	155309	2	1	1963	2018	56	1988	697	1964	6.60	84	8.3	27	33	41	54	92	107	167	233
USGS	05543830	00060	155309	2	2	1963	2018	56	1988	542	1964	6.20	82	7.8	28	33	42	54	91	121	162	241
USGS	05543830	00060	155309	2	3	1963	2018	56	1988	466	1963	7.00	80	7.8	27	33	41	54	87	116	168	269
USGS	05543830	00060	155309	2	4	1963	2018	56	1988	340	1964	7.40	77	8.0	27	32	40	54	97	116	155	292
USGS	05543830	00060	155309	2	5	1963	2018	56	1999	301	1964	7.80	75	8.0	27	32	38	49	103	121	148	230
USGS	05543830	00060	155309	2	6	1963	2018	56	1999	272	1963	8.00	70	11	27	32	37	50	101	109	143	171
USGS	05543830	00060	155309	2	7	1963	2018	56	1999	242	1963	7.00	71	9.7	27	32	35	54	98	104	140	190
USGS	05543830	00060	155309	2	8	1963	2018	56	1999	214	1964	6.60	72	9.5	26	32	33	56	98	116	151	177
USGS	05543830	00060	155309	2	9	1963	2018	56	2001	533	1964	6.20	81	9.5	27	32	33	56	107	120	177	208
USGS	05543830	00060	155309	2	10	1963	2018	56	1966	709	1964	6.00	93	9.5	25	31	32	56	112	129	175	278
USGS	05543830	00060	155309	2	11	1963	2018	56	1966	915	1963	6.00	101	9.4	25	31	33	56	103	135	212	361
USGS	05543830	00060	155309	2	12	1963	2018	56	1966	832	1963	6.00	101	9.4	24	31	32	57	113	128	231	413
USGS	05543830	00060	155309	2	13	1963	2018	56	1966	596	1964	5.80	100	9.4	23	30	33	57	107	126	298	393
USGS	05543830	00060	155309	2	14	1963	2018	56	1984	522	1964	5.60	96	9.4	24	32	35	58	96	123	277	348
USGS	05543830	00060	155309	2	15	1963	2018	56	1984	554	1964	5.80	92	9.4	23	32	36	59	93	120	245	324
USGS	05543830	00060	155309	2	16	1963	2018	56	1984	516	1964	5.80	90	9.4	23	32	38	63	94	106	226	301
USGS	05543830	00060	155309	2	17	1963	2018	56	1984	446	1963	6.00	88	10	24	34	37	58	107	128	216	264
USGS	05543830	00060	155309	2	18	1963	2018	56	1984	378	1964	6.60	94	10	25	34	38	66	105	142	245	284
